person,personid,party_id,party
Abikusno Tjokrosujoso,Q4667741,Q4200848,Indonesian Sarikat Islam Party
Djody Gondokusumo,Q109430802,Q4314852,National People's Party
Guruh Soekarnoputra,Q4264069,Q2084109,Indonesia Democratic Party (PDI)
Guruh Soekarnoputra,Q4264069,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Iskak Tjokroadisurjo,Q56392413,Q1965221,Indonesian National Party (PNI)
Joko Widodo,Q3318231,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Lie Kiat Teng,Q12494804,Q4200848,Indonesian Sarikat Islam Party
Ma'ruf Amin,Q12497177,F1,Independent
Masjkur,Q12497345,Q686441,Nahdlatul Ulama
Megawati Soekarnoputri,Q76179,Q2084109,Indonesia Democratic Party (PDI)
Megawati Soekarnoputri,Q76179,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Mohammad Hatta,Q29050,F1,Independent
Mohammad Yamin,Q3503054,Q19730387,Indonesian Party
Mohammad Yamin,Q3503054,Q110413286,Indonesian People's Movement
R. Sunarjo,Q85993732,Q2669302,United Development Party (PPP)
Rachmawati Soekarnoputri,Q12507600,Q7196857,Pioneers' Party
Rachmawati Soekarnoputri,Q12507600,Q4207219,NasDem Party
Rachmawati Soekarnoputri,Q12507600,Q4261459,Gerindra Party
Soedibjo,Q17411444,Q4200848,Indonesian Sarikat Islam Party
Soekarno,Q76127,Q1965221,Indonesian National Party (PNI)
Sukmawati Soekarnoputri,Q12517042,Q4261536,Indonesian National Marhaenist Party
Sunario Sastrowardoyo,Q4446092,Q1965221,Indonesian National Party (PNI)
Sutan Muchtar Abidin,Q12518231,Q116299110,Labor Party (1998)
Dahlan Ibrahim,Q12480685,Q12503305,Indonesian Independence Supporters Movement Party
Eny Karim,Q16044649,Q1965221,Indonesian National Party (PNI)
Handrianus Sinaga,Q28723855,Q4200847,Indonesian Christian Party (Parkindo)
Idham Chalid,Q6854752,Q2579297,Masyumi Party
Idham Chalid,Q6854752,Q686441,Nahdlatul Ulama
Idham Chalid,Q6854752,Q2669302,United Development Party (PPP)
Jusuf Wibisono,Q6854709,Q2579297,Masyumi Party
Moeljatno,Q6890147,Q2579297,Masyumi Party
Rusli Abdul Wahid,Q12509202,Q12505151,Tarbiyah Islamiyah Union
Rusli Abdul Wahid,Q12509202,Q2669302,United Development Party (PPP)
AA Maramis,Q12682432,Q1965221,Indonesian National Party (PNI)
Amir Sjarifuddin,Q1810083,Q204699,Indonesian Socialist Party (PSI)
Anwaruddin,Q4778076,Q4200848,Indonesian Sarikat Islam Party
IJ Kasimo,Q13534328,Q5053222,Indonesia Catholic Party
J. Leimena,Q2642883,Q4200847,Indonesian Christian Party (Parkindo)
SK Trimurti,Q7387595,Q19730387,Indonesian Party
SK Trimurti,Q7387595,Q4203019,Indonesia Labor Party
Sjahbudin Latif,Q12515622,Q4200848,Indonesian Sarikat Islam Party
Susanto Tirtoprodjo,Q6723714,Q1965221,Indonesian National Party (PNI)
Susanto Tirtoprodjo,Q6723714,Q12503307,Great Indonesia Party
Wikana,Q19944523,Q157744,Indonesian Communist Party (PKI)
Wilopo,Q2091244,Q1965221,Indonesian National Party (PNI)
Anwar Tjokroaminoto,Q84836232,Q4200848,Indonesian Sarikat Islam Party
R. Syamsudin,Q17410975,Q12503307,Great Indonesia Party
R. Syamsudin,Q17410975,Q2579297,Masyumi Party
Adam Malik,Q76297,Q4260843,Murba Party
Adam Malik,Q76297,Q1536552,Golkar Party
Albert Mangaratua Tambunan,Q24284585,Q4200847,Indonesian Christian Party (Parkindo)
Frans Seda,Q981547,Q2084109,Indonesia Democratic Party (PDI)
Frans Seda,Q981547,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
G.A. Siwabessy,Q5511990,F1,Independent
Saifuddin Zuhri,Q14404735,Q2669302,United Development Party (PPP)
Sanusi Hardjadinata,Q12512111,Q1965221,Indonesian National Party (PNI)
Sanusi Hardjadinata,Q12512111,Q2084109,Indonesia Democratic Party (PDI)
Soeharto,Q44819,Q1536552,Golkar Party
Bambang Trihatmodjo,Q12473900,Q1536552,Golkar Party
Bambang Trihatmodjo,Q12473900,Q31173603,Beringin Karya Party
Hutomo Mandala Putra,Q3177695,Q56393560,Indonesian People's Voice Party
Muhammad Dahlan,Q12499346,Q686441,Nahdlatul Ulama
Sigit Harjojudanto,Q12514651,Q31173603,Beringin Karya Party
Siti Hardijanti Rukmana,Q7531876,Q1536552,Golkar Party
Siti Hardijanti Rukmana,Q7531876,Q5158454,Karya Peduli Bangsa Party
Siti Hardijanti Rukmana,Q7531876,Q31173603,Berkarya Party
Siti Hediati Hariyadi,Q12515517,Q4261459,Gerindra Party
Siti Hutami Endang Adiningsih,Q20278519,Q31173603,Beringin Karya Party
Thoyib Hadiwidjaja,Q12521372,F1,Independent
Abdul Hakim Harahap,Q19942211,Q2579297,Masyumi Party
Burhanuddin Harahap,Q2669297,Q2579297,Masyumi Party
Frits Laoh,Q19746108,Q4314852,National People's Party
Harsono Tjokroaminoto,Q18421456,Q4200848,Indonesian Sarikat Islam Party
Iskandar Tedjasukmana,Q97373847,Q4203001,Labor Party (1949-1956)
Lukman Wiriadinata,Q25461005,Q204699,Indonesian Socialist Party (PSI)
Mohammad Sardjan,Q98785893,Q2579297,Masyumi Party
Sjamsuddin Sutan Makmur,Q12515626,Q1965221,Indonesian National Party (PNI)
Sumitro Djojohadikusumo,Q7553510,Q204699,Indonesian Socialist Party (PSI)
Mananti Sitompul,Q109934104,Q4200847,Indonesian Christian Party (Parkindo)
Sjafruddin Prawiranegara,Q4201482,Q2579297,Masyumi Party
Sukiman Wirjosandjojo,Q289858,Q2579297,Masyumi Party
Sukiman Wirjosandjojo,Q289858,Q2579297,Masyumi Party
Azis Saleh,Q12470542,Q12503305,Indonesian Independence Supporters Movement Party
Chaerul Saleh,Q5068118,Q1965221,Indonesian National Party (PNI)
Gustaaf Adolf Maengkom,Q52868794,Q1965221,Indonesian National Party (PNI)
Muhammad Wahib Wahab,Q14404607,Q686441,Nahdlatul Ulama
Muljadi Djojomartono,Q19745785,Q2579297,Masyumi Party
Prijono,Q4378323,Q4260843,Murba Party
Subandrio,Q1306699,Q204699,Indonesian Socialist Party (PSI)
Abdul Haris Nasution,Q317291,Q12503305,Indonesian Independence Supporters Movement Party
Abdul Haris Nasution,Q317291,F1,Independent
Achmad Sjaichu,Q65204588,Q686441,Nahdlatul Ulama
Aminuddin Azis,Q120203095,Q686441,Nahdlatul Ulama
Aminuddin Azis,Q120203095,Q2669302,United Development Party (PPP)
Astrawinata,Q97196745,Q1965221,Indonesian National Party (PNI)
D.N. Aidit,Q558979,Q157744,Indonesian Communist Party (PKI)
Fatah Jasin,Q98985242,Q686441,Nahdlatul Ulama
I Gusti Gde Subamia,Q97036710,Q1965221,Indonesian National Party (PNI)
Rusiah Sardjono,Q12509201,F1,Independent
Sartono,Q9333940,Q1965221,Indonesian National Party (PNI)
Sartono,Q9333940,Q19730387,Indonesian Party
Sartono,Q9333940,Q110413286,Indonesian People's Movement
Setiadi Reksoprodjo,Q58924768,Q204699,Indonesian Socialist Party (PSI)
Soemarno (ekonom),Q19752816,Q1965221,Indonesian National Party (PNI)
Tumpal Dorianus Pardede,Q17411612,Q1965221,Indonesian National Party (PNI)
W.J. Rumambi,Q12523754,Q4200847,Indonesian Christian Party (Parkindo)
Ben Mang Reng Say,Q4886112,Q5053222,Indonesia Catholic Party
Ben Mang Reng Say,Q4886112,Q2084109,Indonesia Democratic Party (PDI)
Djamin Ginting,Q12481724,Q1536552,Golkar Party
Melanchton Siregar,Q64758802,Q4200847,Indonesian Christian Party (Parkindo)
Mohammad Isnaeni,Q12498762,Q1965221,Indonesian National Party (PNI)
Mohammad Isnaeni,Q12498762,Q2084109,Indonesia Democratic Party (PDI)
Osa Maliki,Q25462186,Q1965221,Indonesian National Party (PNI)
A.M. Hendropriyono,Q4666027,Q13405290,Justice and Unity Party (PKP)
Abdul Malik Fadjar,Q11109918,F1,Independent
Alimarwan Hanan,Q17410558,Q2669302,United Development Party (PPP)
Bachtiar Chamsyah,Q4838924,Q2669302,United Development Party (PPP)
Boediono,Q76362,F1,Independent
Hamzah Haz,Q76344,Q2669302,United Development Party (PPP)
Hassan Wirajuda,Q183581,F1,Independent
Hatta Rajasa,Q4201732,Q2434365,National Mandate Party (PAN)
Jacob Nuwa Wea,Q11215759,Q2084109,Indonesia Democratic Party (PDI)
Jacob Nuwa Wea,Q11215759,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Jusuf Kalla,Q76354,Q1536552,Golkar Party
Laksamana Sukardi,Q12493537,Q2084109,Indonesia Democratic Party (PDI)
Laksamana Sukardi,Q12493537,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Laksamana Sukardi,Q12493537,Q387768,Democracy and Reform Party
Laksamana Sukardi,Q12493537,Q115754699,Nusantara Awakening Party
Marzuki Darusman,Q6781884,Q1536552,Golkar Party
Matori Abdul Djalil,Q12497539,Q1257317,National Awakening Party (PKB)
Mohamad Prakosa,Q12498747,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Puan Maharani,Q15646541,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Rini Mariani Soemarno Soewandi,Q6856490,F1,Independent
Rokhmin Dahuri,Q17410470,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Sri Redjeki Sumarjoto,Q17411470,Q1536552,Golkar Party
Susilo Bambang Yudhoyono,Q57405,Q1186227,Democratic Party (PD)
Syamsul Mu'arif,Q6684408,Q1536552,Golkar Party
Syamsul Mu'arif,Q6684408,Q4207219,NasDem Party
Taufiq Kiemas,Q4201140,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Yusril Ihza Mahendra,Q8061915,Q2915024,Moon and Star Party (PBB)
Fakih Usman,Q5431566,Q2579297,Masyumi Party
Tandiono Manu,Q109905042,Q204699,Indonesian Socialist Party (PSI)
Wiwoho Purbohadidjojo,Q118287735,Q2579297,Masyumi Party
Mohammad Natsir,Q2327343,Q2579297,Masyumi Party
Mohammad Natsir,Q2327343,Q2579297,Masyumi Party
Supeno,Q12518049,Q204699,Indonesian Socialist Party (PSI)
Agung Laksono,Q2581141,Q1536552,Golkar Party
Agus Harimurti Yudhoyono,Q7805962,Q1186227,Democratic Party (PD)
Amir Syamsuddin,Q4016580,Q1186227,Democratic Party (PD)
Andi Alfian Mallarangeng,Q11093005,Q1186227,Democratic Party (PD)
Azwar Abubakar,Q4833145,Q2434365,National Mandate Party (PAN)
Bambang Brodjonegoro,Q16169810,F1,Independent
Bambang Susantono,Q12473898,F1,Independent
Denny Indrayana,Q12481262,Q1186227,Democratic Party (PD)
Djan Faridz,Q5285224,Q2669302,United Development Party (PPP)
Djoko Santoso,Q4196055,Q4261459,Gerindra Party
E.E. Mangindaan,Q13092889,Q1536552,Golkar Party
E.E. Mangindaan,Q13092889,Q1186227,Democratic Party (PD)
Edhie Baskoro Yudhoyono,Q7806029,Q1186227,Democratic Party (PD)
Fadel Muhammad,Q5429207,Q1536552,Golkar Party
Gamawan Fauzi,Q5519592,F1,Independent
Helmy Faishal Zaini,Q12485528,Q1257317,National Awakening Party (PKB)
Jero Wacik,Q4200552,Q1186227,Democratic Party (PD)
Lukman Hakim Saifuddin,Q16188358,Q2669302,United Development Party (PPP)
Moeldoko,Q12498731,Q4262041,Hanura Party
Moeldoko,Q12498731,F1,Independent
Muhaimin Iskandar,Q12499327,Q1257317,National Awakening Party (PKB)
Nila Djuwita Anfasa Moeloek,Q13095464,F1,Independent
Patrialis Akbar,Q5247076,Q2434365,National Mandate Party (PAN)
Roy Suryo,Q9019254,Q1186227,Democratic Party (PD)
Salim Segaf Al-Jufri,Q12511651,Q1511101,Justice and Prosperity Party (PKS)
Sharif Cicip Sutarjo,Q19798851,Q1536552,Golkar Party
Sjafrie Sjamsoeddin,Q12515621,Q4261459,Gerindra Party
Sri Mulyani Indrawati,Q3177708,F1,Independent
Suharna Surapranata,Q5247068,Q1511101,Justice and Prosperity Party (PKS)
Suharso Monoarfa,Q12516581,Q2669302,United Development Party (PPP)
Suryadharma Ali,Q983372,Q2669302,United Development Party (PPP)
Suswono,Q5247112,Q1511101,Justice and Prosperity Party (PKS)
Syarief Hasan,Q12518358,Q1186227,Democratic Party (PD)
Tifatul Sembiring,Q4250974,Q1511101,Justice and Prosperity Party (PKS)
Zulkifli Hasan,Q4260406,Q2434365,National Mandate Party (PAN)
Aburizal Bakrie,Q336042,Q1536552,Golkar Party
Adhyaksa Dault,Q4682572,F1,Independent
Alwi Shihab,Q2840640,Q1257317,National Awakening Party (PKB)
Anton Apriantono,Q4775650,Q1511101,Justice and Prosperity Party (PKS)
Bambang Sudibyo,Q11120678,Q2434365,National Mandate Party (PAN)
Endriartono Sutarto,Q5361867,Q4207219,NasDem Party
Erman Soeparno,Q11066107,Q1257317,National Awakening Party (PKB)
Fahmi Idris,Q5429568,Q1536552,Golkar Party
Juwono Sudarsono,Q3107476,F1,Independent
MS Kaban,Q12495710,Q2915024,Moon and Star Party (PBB)
MS Kaban,Q12495710,Q106255756,Ummah Party
Mardiyanto,Q3502316,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Meuthia Hatta Swasono,Q11081076,Q13405290,Justice and Unity Party (PKP)
Mohammad Andi Mattalatta,Q12498756,Q1536552,Golkar Party
Mohammad Lukman Edy,Q12499367,Q1257317,National Awakening Party (PKB)
Muhammad Yusuf Asy'ari,Q12499394,Q1511101,Justice and Prosperity Party (PKS)
Rachmat Witoelar,Q7279546,F1,Independent
Saifullah Yusuf,Q12511505,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Saifullah Yusuf,Q12511505,Q1257317,National Awakening Party (PKB)
Soegiharto,Q17411404,F1,Independent
Sofyan Djalil,Q12515797,F1,Independent
Abdul Halim Iskandar,Q72061441,Q1257317,National Awakening Party (PKB)
Abdullah Azwar Anas,Q16162595,Q1257317,National Awakening Party (PKB)
Abdullah Azwar Anas,Q16162595,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Afriansyah Noor,Q108889808,Q2915024,Moon and Star Party (PBB)
Agus Gumiwang Kartasasmita,Q12470931,Q1536552,Golkar Party
Agus Suparmanto,Q72087658,Q1257317,National Awakening Party (PKB)
Airlangga Hartarto,Q12471140,Q1536552,Golkar Party
Angela Tanoesoedibjo,Q72242032,Q19752495,Indonesian Unity Party
Arifin Tasrif,Q12472460,F1,Independent
Bahlil Lahadalia,Q65204620,Q1536552,Golkar Party
Bahlil Lahadalia,Q65204620,F1,Independent
Budi Arie Setiadi,Q56416296,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Budi Karya Sumadi,Q28723650,F1,Independent
Dito Ariotedjo,Q65208154,Q1536552,Golkar Party
Edhy Prabowo,Q72086432,Q1536552,Golkar Party
Erick Thohir,Q5388188,F1,Independent
Gibran Rakabuming,Q18342893,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Gibran Rakabuming,Q18342893,F1,Independent
Harvick Hasnul Qolbi,Q109563840,F1,Independent
I Gusti Ayu Bintang Darmawati,Q72117992,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Ida Fauziyah,Q17410595,Q1257317,National Awakening Party (PKB)
Jerry Sambuaga,Q65212605,Q1536552,Golkar Party
John Wempi Wetipo,Q25465726,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Johnny G. Plate,Q72119052,Q4207219,NasDem Party
Juliari Batubara,Q72061436,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Kaesang Pangarep,Q18342896,Q23744654,Indonesia Solidarity Party 
Karier Joko Widodo sebagai Gubernur DKI Jakarta,Q19745980,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Karier Joko Widodo sebagai Wali Kota Surakarta,Q19745981,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Luhut Binsar Panjaitan,Q14917375,Q1536552,Golkar Party
Mahfud MD,Q6892160,F1,Independent
Muhadjir Effendy,Q26236935,F1,Independent
Nadiem Makarim,Q25464675,F1,Independent
Prabowo Subianto,Q2107268,Q4261459,Gerindra Party
Pramono Anung,Q12506342,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Pratikno,Q12506406,F1,Independent
Raja Juli Antoni,Q25464379,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Raja Juli Antoni,Q25464379,Q23744654,Indonesia Solidarity Party 
Retno Marsudi,Q18342668,F1,Independent
